SenderLocationID,SenderSuburb,SenderState,SenderPostcode,SenderResidentialAddress
11193,PIALBA,QLD,4655,1
103362,THOMASTOWN,VIC,3074,1
81,HUNTINGWOOD,NSW,2148,1
15901,KEYSBOROUGH,VIC,3173,1
119282,SILVERWATER,NSW,2128,1
157527,DRY CREEK,SA,5094,1
13146,HECTORVILLE,SA,5073,1
86297,STAFFORD,QLD,4053,1
28403,HEIDELBERG WEST,VIC,3081,1
36612,DANDENONG SOUTH,VIC,3175,1
114109,SEAFORD HEIGHTS,SA,5169,0
15476,MELROSE PARK,SA,5039,1
26939,WELLAND,SA,5007,1
1942,BLACKTOWN,NSW,2148,1
16611,ALEXANDRIA,NSW,2015,1
29251,PERTH AIRPORT,WA,6105,1
19764,SHELLHARBOUR CITY CENTRE,NSW,2529,1
547314,KINGS PARK,NSW,2148,1
13144,WOODVILLE,SA,5011,0
15163,SOUTH MELBOURNE,VIC,3205,1
347828,CAMPBELLFIELD,VIC,3061,1
11837,DANDENONG SOUTH,VIC,3175,1
397951,BUNDOORA,VIC,3083,1
494462,BEECHWORTH,VIC,3747,1
15535,KEYSBOROUGH,VIC,3173,1
7494,ASCOT,WA,6104,0
14203,CANNING VALE,WA,6155,1
11999,ROSEBERY,NSW,2018,1
471,COBURG NORTH,VIC,3058,1
16137,MARION,SA,5043,1
547619,DANDENONG SOUTH,VIC,3175,1
5975,KEYSBOROUGH,VIC,3173,1
28657,GARBUTT,QLD,4814,1
288981,GREENWICH,NSW,2065,0
547673,SOUTH GLADSTONE,QLD,4680,1
38474,HINDMARSH,SA,5007,1
547246,RESERVOIR,VIC,3073,1
26565,PIALBA,QLD,4655,0
12623,CARRUM DOWNS,VIC,3201,1
26535,WETHERILL PARK,NSW,2164,1
13836,DANDENONG SOUTH,VIC,3175,1
5299,SMEATON GRANGE,NSW,2567,1
359341,MARSDEN PARK,NSW,2765,1
26203,WELSHPOOL,WA,6106,1
14644,WINTHROP,WA,6150,0
38027,DERRIMUT,VIC,3026,1
15624,HALLAM,VIC,3803,1
15379,OTTOWAY,SA,5013,1
13613,ROCKLEA,QLD,4106,1
509097,NUMULGI,NSW,2480,0
39706,AITKENVALE,QLD,4814,1
3186,EASTERN CREEK,NSW,2766,1
7867,EASTERN CREEK,NSW,2766,1
781709,ST MARYS,SA,5042,1
771648,GEPPS CROSS,SA,5094,1
547648,SUNSHINE BEACH,QLD,4567,1
322524,DUBBO,NSW,2830,0
15949,NARANGBA,QLD,4504,1
3210,WELSHPOOL,WA,6106,1
26183,OAKLEIGH SOUTH,VIC,3167,1
547072,BORONIA,VIC,3155,0
547658,MASCOT,NSW,2020,0
17602,BALCATTA,WA,6021,1
145723,CRESTMEAD,QLD,4132,0
11174,COOMERA,QLD,4209,1
3227,NORTH ALBURY,NSW,2640,1
15464,WEST LAKES,SA,5021,1
839063,YAGOONA,NSW,2199,1
547319,URRAWEEN,QLD,4655,1
778977,VIRGINIA,QLD,4014,1
287765,WARANGA SHORES,VIC,3612,0
547708,TOORADIN,VIC,3980,0
626016,CAMPSIE,NSW,2194,1
13988,PRESTON,VIC,3072,1
763,GEEBUNG,QLD,4034,1
255,REVESBY,NSW,2212,1
38472,HALLAM,VIC,3803,1
201662,OONOONBA,QLD,4811,1
3071,ATHOL PARK,SA,5012,1
204358,BRAESIDE,VIC,3195,1
38453,RICHMOND,SA,5033,1
36610,SOMERSBY,NSW,2250,1
12894,ALTONA NORTH,VIC,3025,1
12494,RICHMOND,VIC,3121,1
547209,BOX HILL,NSW,2765,1
5547,SMEATON GRANGE,NSW,2567,1
46507,THOMASTOWN,VIC,3074,1
776287,FYSHWICK,ACT,2609,1
6418,EPPING,VIC,3076,1
545701,LAVERTON NORTH,VIC,3026,1
547731,SMITHFIELD,NSW,2164,1
157548,SYDNEY,NSW,2000,1
440791,KENWICK,WA,6107,0
27698,GREENACRE,NSW,2190,1
6273,TOTTENHAM,VIC,3012,1
78578,WOOLLAHRA,NSW,2025,1
4882,MARLESTON,SA,5033,1
38034,TULLAMARINE,VIC,3043,1
182549,RIVERWOOD,NSW,2210,1
9822,MUDGEE,NSW,2850,0
284811,CARINGBAH,NSW,2229,1
159220,THORNLEIGH,NSW,2120,0
251558,SOUTH GRANVILLE,NSW,2142,1
26796,WETHERILL PARK,NSW,2164,1
1042859,SMITHFIELD,NSW,2164,1
27128,CHELTENHAM,VIC,3192,1
27119,THURINGOWA CENTRAL,QLD,4817,0
76932,TULLAMARINE,VIC,3043,1
19,SOUTH ALBURY,NSW,2640,1
158585,BARGO,NSW,2574,0
246686,TULLAMARINE,VIC,3043,1
296200,WEST BUSSELTON,WA,6280,0
116104,WILSONTON,QLD,4350,1
3213,EAGLE FARM,QLD,4009,1
123850,ELTHAM,VIC,3095,0
15582,COOPERS PLAINS,QLD,4108,1
790441,BRIDGETOWN,WA,6255,1
41406,BRAESIDE,VIC,3195,1
4947,LEN WATERS ESTATE,NSW,2171,1
7054,NERANG,QLD,4211,1
547728,KERANG,VIC,3579,0
92010,BAYSWATER,VIC,3153,1
774692,FAIRFIELD EAST,NSW,2165,1
327868,ILLAWONG,NSW,2234,0
15341,SYDNEY,NSW,2000,1
65280,MOOREBANK,NSW,2170,1
14372,GNANGARA,WA,6077,1
8137,ROSEBERY,NSW,2018,1
38897,BARNAWARTHA NORTH,VIC,3691,1
314798,BERALA,NSW,2141,0
118424,GEPPS CROSS,SA,5094,1
157703,CRAIGMORE,SA,5114,1
15689,QUAKERS HILL,NSW,2763,0
309811,CHELTENHAM,VIC,3192,1
25862,BELROSE,NSW,2085,1
3225,CARDIFF,NSW,2285,1
22912,MEDOWIE,NSW,2318,1
34498,FOOTSCRAY,VIC,3011,1
547740,RENMARK WEST,SA,5341,0
84295,WALLAN,VIC,3756,0
116066,BANGHOLME,VIC,3175,1
1500,ORCHARD HILLS,NSW,2748,1
14990,BALGOWLAH,NSW,2093,0
20048,BOWEN HILLS,QLD,4006,1
49681,PRESTON,VIC,3072,1
11721,ACACIA RIDGE,QLD,4110,1
3443,BOOVAL,QLD,4304,1
45949,FYSHWICK,ACT,2609,1
15931,YATALA,QLD,4207,1
8447,SALISBURY PLAIN,SA,5109,1
2980,PRESTONS,NSW,2170,1
547549,BUNDOORA,VIC,3083,1
95651,WETHERILL PARK,NSW,2164,1
547583,MELBOURNE,VIC,3000,1
547706,COWES,VIC,3922,0
547638,REGENTS PARK,NSW,2143,1
9476,BROOKVALE,NSW,2100,1
128557,BREAKWATER,VIC,3219,1
1230665,Munno Para West,SA,5115,1
13270,TRUGANINA,VIC,3029,1
181818,KEW,VIC,3101,1
16050,CAVAN,SA,5094,1
15116,ASCOT VALE,VIC,3032,0
16258,BOTANY,NSW,2019,1
16204,GLENMORE PARK,NSW,2745,0
26090,ORMEAU,QLD,4208,1
14801,SOUTH GRANVILLE,NSW,2142,1
28719,NEWTON,SA,5074,1
38770,CHIPPING NORTON,NSW,2170,1
9676,POORAKA,SA,5095,1
14650,LONSDALE,SA,5160,1
58258,ALEXANDRIA,NSW,2015,1
7699,REGENTS PARK,NSW,2143,1
22468,RUTHERFORD,NSW,2320,1
8759,TUGGERAH,NSW,2259,1
756,SOUTH ALBURY,NSW,2640,1
31717,ROCKLEA,QLD,4106,1
15081,NORTH ROCKS,NSW,2151,0
15613,ROMA,QLD,4455,1
157,RUTHERFORD,NSW,2320,1
42980,SOUTH GRANVILLE,NSW,2142,1
547076,ARUNDEL,QLD,4214,1
