PayingAccountCodeID,Customer Name (RG),ExcludeSurcharge
B3M,"Satterfield, Stamm and Will",0
SOM1,Rutherford and Sons,0
VNOPB,Casper - Kub,0
MOT6,Hickle - Funk,0
COT2,Cole - Hilpert,0
STA26,Toy Inc,0
EFF83,Kirlin - Nitzsche,1
100300,Schamberger and Sons,0
LIN22,Beatty - Williamson,1
BOC59,Koch Inc,0
EFF32,Jakubowski Group,0
ROYA,Murazik Group,1
IMP14,Goyette Inc,0
SCH52,Runolfsson Group,1
MAC22,Bahringer - Towne,0
EFF87,"Nikolaus, Stroman and Ferry",0
MAD5,"Huel, Boyle and Hauck",0
PAC30,Wuckert Inc,0
7559,"Ledner, Schuppe and Kerluke",0
YAM7,Weimann - Waelchi,0
HVE1,"Towne, Nitzsche and Jacobs",0
SHA16,"VonRueden, Bogan and Weber",0
4748,"Schaden, Casper and Kozey",0
TRA31,"Hoeger, Hand and Reichert",0
GAR19,Langosh - Lind,0
ARWA,Yundt - Williamson,0
AUS168,Davis - Nicolas,0
REW4,Wisozk LLC,0
OPP3,Kemmer Group,0
NBERB,"Kessler, Schmeler and Volkman",0
SBEVC,Stehr and Sons,0
EVE16,"Wiegand, Crona and D'Amore",0
HAF2,Hand and Sons,0
VIV1,"Mraz, Green and Rippin",1
739300,"Bergstrom, Jacobi and Shanahan",0
UES4,"Kutch, Pfeffer and Herzog",0
DHL2,"Huel, Flatley and Aufderhar",0
CLE12,Grimes - Pagac,0
KWA2,"Reinger, Johns and Moore",0
CAR37,"Jakubowski, Kessler and Jerde",0
BAU2,Ortiz Group,0
BRU6,Jones LLC,0
RAP9,"Wyman, Tromp and Senger",0
TRI30,Ward and Sons,0
WAT30,Greenholt - Hahn,0
COM65,Cremin Inc,0
SBEVB,"Treutel, Thiel and Larkin",0
HEL6,Stracke - Breitenberg,0
MYF34,Thompson Group,0
BIL3,Homenick - McDermott,0
TCB1,Beier - Dicki,0
COO13,Rolfson Inc,0
BOC27,Grady - Rau,0
MUL7,"Gutkowski, O'Conner and Turner",0
RFI1,Farrell - Kessler,1
COU14,Schaefer Group,0
GGB1,Herzog and Sons,0
ITO1,Von - Wiegand,0
WIL12,"Fadel, Goyette and Walsh",0
7530,McLaughlin - Jast,0
COU15,Reynolds Group,0
LIO2,"Marvin, Zemlak and Schultz",0
BRA18,Ruecker - Dickens,0
THE69,Mayer - Hickle,0
CBS1,Swaniawski LLC,0
KUE35,"Schmidt, Berge and Dach",0
ast5,Macejkovic - Hamill,0
ADPALLET,"Donnelly, Bosco and Feeney",0
MON17,"Bartoletti, Purdy and Pfannerstill",0
MIL24,"Reinger, Borer and Orn",0
MAV1,Schaden and Sons,0
PRE31,Krajcik LLC,0
AXI10,Sauer and Sons,0
DIX2,Torphy and Sons,0
ALL68,Muller - Crist,0
ASP4,Wyman - Beahan,0
BRI26,Weber - Emard,0
SYD13,"Wolf, Kozey and Tromp",0
REV17,Tremblay Group,0
SUN22,Gislason Group,0
BLA30,Schmitt and Sons,0
8395,"Brekke, Nolan and Ferry",0
LIN33,"Sporer, Krajcik and Kutch",0
AUS158,Wintheiser LLC,0
ELI20,Luettgen - Orn,0
TWO1,Champlin - Considine,0
HAI6,Effertz and Sons,0
PBA4,"Johns, Kassulke and Reinger",1
WIL21,Harber Inc,0
200000,Crooks - Konopelski,0
ALD6,Hilll LLC,0
309102,Kertzmann and Sons,0
SUN32,Breitenberg - Halvorson,0
3945,Okuneva Group,0
ENV15,Kautzer - Spinka,0
TMS105,Rogahn - Mueller,0
FAS13,Sipes - Roberts,0
HAI2,Baumbach - Hermann,0
SUP47,Okuneva Inc,0
SSW1,Schowalter - Kozey,0
WFD1,Huel - Brekke,0
INS10,"Rosenbaum, Kunze and Dicki",0
GWS1,O'Conner - Monahan,0
SCH40,Conroy Inc,1
GAR15,Altenwerth - Fisher,0
QROCC,Christiansen - Schiller,0
GAZ2,Shanahan LLC,0
MUD1,Durgan and Sons,0
MUL27,Metz LLC,0
KAL7,"Gerhold, Kshlerin and Dooley",0
HIL10,Kihn - Schimmel,0
MEC16,Bartoletti Inc,0
DAL9,Schowalter Inc,0
ETB1,Gerhold LLC,0
RIC8,"Prohaska, Wyman and Abbott",0
OME5,Blick - Bins,0
MIA1,Kessler Inc,0
IVO1,Marvin - Ritchie,0
DYN18,Haag and Sons,0
FAS17,"Grady, Heidenreich and Conn",0
NAT52,"Beer, Kassulke and Cummings",0
34029,"Christiansen, Tromp and Lesch",0
TMA1,Emard - Leannon,0
IND21,Paucek - Marquardt,0
TRU26,Feeney and Sons,0
3M1,Rowe Inc,0
CAM17,"Labadie, Predovic and Howell",0
WFD4,Kuphal Inc,0
THE73,Vandervort - Hoppe,0
COA11,Torphy - Schimmel,0
3422,Bahringer - Runte,0
TMS95,Schulist - Romaguera,0
705600,Schinner LLC,0
ALT100,Mueller - Zboncak,0
QHD1,Pfeffer and Sons,0
TOT17,Kuhic - D'Amore,0
FES1,Beier Inc,0
IMI3,Heidenreich and Sons,0
SCH38,"Kiehn, Boyle and Altenwerth",1
DYN15,Collier LLC,0
PIC4,Heathcote - Morissette,1
MET26,"Crist, Mills and Steuber",0
INF3,Macejkovic - Ritchie,0
LIT9,"Olson, Lesch and Huels",0
BOC81,Parker - Upton,0
KUE31,Sawayn - Block,1
ALB10,Willms and Sons,0
PER28,Donnelly - Doyle,0
WBAYC,"Collins, Dooley and Beahan",0
rav4,"Schowalter, Blick and Rosenbaum",0
CUR5,Turcotte Group,0
TMS35,Swift - Boehm,0
KRI4,Murazik - Stamm,0
1065,"Schumm, Hintz and Swaniawski",0
MEC14,Kshlerin - Ward,0
JTY1,Price LLC,0
SEN2,Goyette - Langworth,0
903300,Fisher - Ankunding,0
CRO20,"Lynch, Block and Friesen",0
LAR2,Kerluke Inc,1
AQU15,"Marks, Green and Grimes",0
NSMIB,"Corkery, Schuster and Wunsch",0
CLA11,Vandervort Group,0
BLZ1,Franecki Inc,0
SAM11,Torphy LLC,0
COM63,Glover and Sons,1
UNI40,Marquardt LLC,0
ORO4,"Little, Runolfsson and Lynch",0
TMS115,Rogahn - Schmeler,0
CAS12,Rowe Group,0
DRA4,Gibson - Cruickshank,0
6943,"Lang, Paucek and Towne",0
MYF8,"Bahringer, Bergnaum and Yundt",0
DEB2,Sipes LLC,0
YAM8,Collier - Schneider,0
HIG6,Kessler Group,0
515101,"Senger, Glover and Ratke",0
BRA45,"Stark, Harvey and Tremblay",0
tor2,Marquardt - Welch,0
SOU62,Kirlin Group,0
TLS7,Gaylord - Kunze,0
TMS59,"Little, Willms and Zemlak",0
OZT3,Gislason - Reinger,0
BRI42,Johns - Sawayn,0
620000,"Weissnat, Conn and Hills",0
208301,"Hermiston, Hamill and Dibbert",0
FRE49,Connelly - Gislason,0
ONE10,Borer - Tremblay,0
PAC26,King - Schmeler,0
IPS1,Glover Group,0
KUE11,"Bashirian, Heidenreich and Schmeler",1
KUE18,"Johnston, Swaniawski and Davis",1
SYD15,Yundt LLC,0
NOC2,"Reinger, Prosacco and Koepp",0
TMS84,McGlynn - Dare,0
CIG1,"Cartwright, Williamson and Kessler",0
ALN1,"Spencer, Bruen and Daugherty",1
MIL20,"Frami, Abernathy and Botsford",0
KUE30,Zieme - Rolfson,1
HOS4,Fadel Inc,0
CRI8,"Thiel, Dach and Toy",0
KIN18,"Batz, Shields and Reichert",0
WBAYB,"Stroman, Corkery and Bins",0
MAX13,Ritchie - Hand,0
LUP1,Boyer - Simonis,0
SAL16,Mraz Group,0
BRU4,Gutmann - Monahan,0
OUT5,Wolff - Romaguera,0
LEI4,Mraz - Parker,0
DON4,Ondricka Group,0
